Name,Country,Category,Purpose,OrbitClass,OrbitType,Longitude,Mass,LaunchDate,Contractor,LaunchSite,LaunchVehicle,Grouped_Purpose
Ningxia-2 02,China,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,100,2021-07-09,DFH Satellite Co. Ltd./CASC,Taiyuan Launch Center,Long March 6,Earth Observation
Ningxia-2 03,China,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,100,2021-07-09,DFH Satellite Co. Ltd./CASC,Taiyuan Launch Center,Long March 6,Earth Observation
Ningxia-2 04,China,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,100,2021-07-09,DFH Satellite Co. Ltd./CASC,Taiyuan Launch Center,Long March 6,Earth Observation
Ningxia-2 05,China,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,100,2021-07-09,DFH Satellite Co. Ltd./CASC,Taiyuan Launch Center,Long March 6,Earth Observation
NIt,India,Civil,Technology Development,LEO,Sun-Synchronous,0.0,15,2017-06-22,Noorul Islam University,Satish Dhawan Space Centre,PSLV,Technology Development
Noor-2,Iran,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,15,2022-04-08,Revolutionary Guard Corps,Shahroud Missile Range,Qased,Earth Observation
Norbi,Russia,Civil,Space Science,LEO,Sun-Synchronous,0.0,9,2020-09-28,Novosibirsk State University,Plesetsk Cosmodrome,Soyuz-2.1a,Space Science
NorSat-1,Norway,Government,Earth Science/Earth Observation,LEO,Sun-Synchronous,0.0,30,2017-07-14,Norwegian Space Center,Baikonur Cosmodrome,Soyuz-2.1a,Earth Observation
NorSat-2,Norway,Government,Earth Observation,LEO,Sun-Synchronous,0.0,16,2017-07-14,Norwegian Space Center,Baikonur Cosmodrome,Soyuz-2.1a,Earth Observation
NorSat-3,Norway,Government,Earth Observation,LEO,Sun-Synchronous,0.0,15,2021-04-29,Norwegian Space Center,Guiana Space Center,Vega W18,Earth Observation
NorSat-TD,Norway,Government,Earth Observation,LEO,Sun-Synchronous,0.0,35,2023-04-15,Norwegian Space Center,Vandenberg AFB,Falcon 9,Earth Observation
NovaSAR-1,United Kingdom,Government/Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,430,2018-09-16,Surrey Satellite Technologies Ltd./Airbus Defense and Space,Satish Dhawan Space Centre,PSLV,Earth Observation
NPSat-1,USA,Civil/Military,Technology Development,LEO,Sun-Synchronous,0.0,85,2019-06-25,Naval Postgraduate School,Cape Canaveral,Falcon Heavy,Technology Development
USA 334,USA,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,55,2022-07-13,Unknown,Rocket Lab Launch Complex 1,Electron,Earth Observation
USA 335,USA,Military,Technology Development,LEO,Polar,0.0,100,2022-08-04,Unknown,Rocket Lab Launch Complex 1,Electron,Technology Development
NSLSat-1,Israel,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,8,2019-07-05,NSLComm,Vostochny Cosmodrome,Soyuz-2.1b,Technology Development
NSLSat-2,Israel,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,10,2023-01-03,Clyde Space,Cape Canaveral,Falcon 9,Technology Development
Ñt-10,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-11,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-12,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-13,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-14,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-15,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-16,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-17,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-18,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
Ñt-19,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,37,2021-06-30,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-20,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,37,2021-06-30,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-21,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,37,2021-06-30,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-22,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,37,2021-06-30,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-23,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-04-04,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-24,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-04-04,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-25,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-04-04,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-26,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-04-04,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-27,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-04-04,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-28,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-05-25,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-29,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-05-25,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-3 ,Argentina,Commercial,Earth Observation,LEO,Non-Polar Inclined,0.0,35,2017-06-15,Satellogic,Jiuquan Satellite Launch Center,Long March 4B,Earth Observation
Ñt-30,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-05-25,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-31,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2022-05-25,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-32,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-01-03,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-33,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-01-03,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-34,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-01-03,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-35,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-01-03,Satellogic,Cape Canaveral,Falcon 9,Earth Observation
Ñt-36,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-04-15,Satellogic,Vandenberg AFB,Falcon 9,Earth Observation
Ñt-37,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-04-15,Satellogic,Vandenberg AFB,Falcon 9,Earth Observation
Ñt-38,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-04-15,Satellogic,Vandenberg AFB,Falcon 9,Earth Observation
Ñt-39,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,42,2023-04-15,Satellogic,Vandenberg AFB,Falcon 9,Earth Observation
Ñt-4,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,35,2018-02-02,Satellogic,Jiuquan Satellite Launch Center,Long March 2D,Earth Observation
Ñt-5,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,35,2018-02-02,Satellogic,Jiuquan Satellite Launch Center,Long March 2D,Earth Observation
Ñt-6 ,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,35,2020-09-02,Satellogic,Guiana Space Center,Vega,Earth Observation
Ñt 7,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-01-15,Satellogic,Taiyuan Launch Center,Long March 2D,Earth Observation
Ñt 8,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-01-15,Satellogic,Taiyuan Launch Center,Long March 2D,Earth Observation
Ñt-9,Argentina,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,45,2020-11-06,Satellogic,Taiyuan Launch Center,Long March 6,Earth Observation
NuSTAR,USA,Government,Space Science,LEO,Equatorial,0.0,360,2012-06-13,Orbital Sciences Corp.,Kwajalein Island,Pegasus XL,Space Science
219,USA,Government/Civil,Space Science,LEO,Polar,0.0,6,2010-11-20,NASA/Ames Research Center,Kodiak Launch Complex,Minotaur 4,Space Science
O3b FM02,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2013-06-25,Thales Alenia Space,Guiana Space Center,Soyuz-ST,Communications
O3b FM03,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-07-10,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM04,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2013-06-25,Thales Alenia Space,Guiana Space Center,Soyuz-ST,Communications
O3b FM05,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2013-06-25,Thales Alenia Space,Guiana Space Center,Soyuz-ST,Communications
O3b FM06,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-07-10,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM07,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-07-10,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM08,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-07-10,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM09,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-12-18,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM10,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-12-18,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM11,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-12-18,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM12,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2014-12-18,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM13,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2018-03-09,Thales Alenia Space,Guiana Space Center,Soyuz-2.1b,Communications
O3b FM14,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2018-03-09,Thales Alenia Space,Guiana Space Center,Soyuz-2.1b,Communications
O3b FM15,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2018-03-09,Thales Alenia Space,Guiana Space Center,Soyuz-2.1b,Communications
O3b FM16,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,650,2018-03-09,Thales Alenia Space,Guiana Space Center,Soyuz-2.1b,Communications
O3b FM17,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2019-04-04,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM18,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2019-04-04,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM19,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2019-04-04,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b FM20,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2019-04-04,Thales Alenia Space,Guiana Space Center,Soyuz-ST-B,Communications
O3b PFM,United Kingdom,Commercial,Communications,MEO,Equatorial,0.0,700,2013-06-25,Thales Alenia Space,Guiana Space Center,Soyuz-ST,Communications
OCO 2,USA,Government,Earth Observation,LEO,Sun-Synchronous,0.0,454,2014-07-02,Orbital Sciences Corp.,Vandenberg AFB,Delta 2,Earth Observation
Oculus ASR,USA,Military,Technology Development,Elliptical,,0.0,70,2019-06-25,Michigan Technological University/Air Force Research Laboratory,Cape Canaveral,Falcon Heavy,Technology Development
Odin,Sweden,Government,Earth Observation,LEO,Sun-Synchronous,0.0,250,2001-02-20,Swedish Space Corporation/Canadian Space Agency/National Technology Agency of Finland/Centre National d'Etudes Spatiales,Svobodny Cosmodrome,Start 1,Earth Observation
Ofeq 10,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2014-04-09,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit,Earth Observation
Ofeq 11,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2016-09-13,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit,Earth Observation
Ofeq 13,Israel,Military,Earth Observation,LEO,Retrograde,0.0,300,2023-03-28,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit,Earth Observation
Ofeq 16,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2020-07-06,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit 2,Earth Observation
Ofeq 5,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2002-05-28,"Israel Aircraft Industries (IAI), Missiles and Space Group",Palmachim Launch Complex ,Shavit,Earth Observation
Ofeq 7,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2007-06-10,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit,Earth Observation
Ofeq 9,Israel,Military,Earth Observation,LEO,Non-Polar Inclined,0.0,300,2010-06-22,Israel Aerospace Industries (IAI),Palmachim Launch Complex ,Shavit,Earth Observation
OneWeb-0006,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0007,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0008,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0010,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0011,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0012,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2019-02-27,OneWeb Satellites/Airbus,Guiana Space Center,Soyuz ST-B,Communications
OneWeb-0013,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0017,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0018,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0019,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0020,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0021,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0022,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0023,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0024,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0025,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0026,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0027,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0028,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0029,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0031,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0032,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0033,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0034,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0035,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0036,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0037,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0038,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0039,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0040,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0041,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0042,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0043,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0044,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0045,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0046,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0047,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0048,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0049,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0050,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0051,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0052,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0053,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0054,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0055,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0056,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0057,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0058,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0059,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0060,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0061,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0062,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0063,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0064,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0065,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-02-06,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0066,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0067,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0068,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0069,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0080,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0081,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0082,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0083,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0085,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0086,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0087,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0088,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0090,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0092,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0093,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0094,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0095,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0096,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0098,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-03-21,OneWeb Satellites/Airbus,Baikonur Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0101 ,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2021-03-25,OneWeb Satellites/Airbus,Vostochny Cosmodrome,Soyuz-2.1b,Communications
OneWeb-0102,United Kingdom,Commercial,Communications,LEO,Polar,0.0,148,2020-12-18,OneWeb Satellites/Airbus,Vostochny Cosmodrome,Soyuz-2.1b,Communications
