Name,Country,Category,Purpose,OrbitClass,OrbitType,Longitude,Mass,LaunchDate,Contractor,LaunchSite,LaunchVehicle,Grouped_Purpose
AmGU-1,Russia,Civil,Space Science,LEO,Sun-Synchronous,0.0,4,2019-07-05,Moscow State University,Vostochny Cosmodrome,Soyuz-2.1b,Space Science
Amsat-Oscar 7,USA,Civil,Communications,LEO,Polar,0.0,29,1974-11-15,Amsat-NA,Vandenberg AFB,Delta 2310,Communications
ANDESITE Mule,USA,Civil,Space Science/Technology Demonstration,LEO,Sun-Synchronous,0.0,9,2020-06-13,Boston University,Rocket Lab Launch Complex 1,Electron,Space Science/Technology Demonstration
ANGELS,ESA,Government,Communications,LEO,Sun-Synchronous,0.0,18,2019-12-18,CNES ,Guiana Space Center,Soyuz,Communications
AprizeSat 1,Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,0.0,12,2004-06-29,Aprize Satellite ,Baikonur Cosmodrome,Dnepr,Communications/Technology Development
AprizeSat 10,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0.0,12,2014-06-19,SpaceQuest,Dombarovsky Air Base,Dnepr,Communications/Maritime Tracking
AprizeSat 2,USA/Argentina,Commercial,Communications/Technology Development,LEO,Sun-Synchronous,0.0,12,2004-06-29,Aprize Satellite ,Baikonur Cosmodrome,Dnepr,Communications/Technology Development
AprizeSat 3,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0.0,12,2009-07-29,SpaceQuest,Baikonur Cosmodrome,Dnepr,Communications/Maritime Tracking
AprizeSat 4,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0.0,12,2009-07-29,SpaceQuest,Baikonur Cosmodrome,Dnepr,Communications/Maritime Tracking
AprizeSat 5,Canada,Commercial,Communications,LEO,Sun-Synchronous,0.0,12,2011-08-17,SpaceQuest,Dombarovsky Air Base,Dnepr,Communications
AprizeSat 7,Canada,Commercial,Communications,LEO,Sun-Synchronous,0.0,12,2013-11-21,SpaceQuest,Dombarovsky Air Base,Dnepr,Communications
AprizeSat 8,USA/Argentina,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0.0,12,2013-11-21,SpaceQuest,Dombarovsky Air Base,Dnepr,Communications/Maritime Tracking
AprizeSat 9,USA,Commercial,Communications/Maritime Tracking,LEO,Sun-Synchronous,0.0,12,2014-06-19,SpaceQuest,Dombarovsky Air Base,Dnepr,Communications/Maritime Tracking
ARCE 1A,USA,Civil,Technology Development,LEO,Sun-Synchronous,0.0,1,2021-01-24,"South Florida University, Institute of Applied Engineering (IAE)",Cape Canaveral,Falcon 9/Sherpa FX,Technology Development
ARCE 1B,USA,Civil,Technology Development,LEO,Sun-Synchronous,0.0,1,2021-01-24,"South Florida University, Institute of Applied Engineering (IAE)",Cape Canaveral,Falcon 9/Sherpa FX,Technology Development
ARCE 1C,USA,Civil,Technology Development,LEO,Sun-Synchronous,0.0,1,2021-01-24,"South Florida University, Institute of Applied Engineering (IAE)",Cape Canaveral,Falcon 9/Sherpa FX,Technology Development
ARCSAT,Norway,Military,Technology Demonstration,LEO,Sun-Synchronous,0.0,10,2022-04-01,Norwegian Defence Research Establishment,Cape Canaveral,Falcon 9,Technology Demonstration
ARICA,Japan,Civil,Technology Development,LEO,Sun-Synchronous,0.0,1,2021-11-08,Aoyama Gakuin University in Tokyo,Uchinoura Space Center,H2A,Technology Development
Arkyd-6A,USA,Commercial,Technology Development,LEO,Sun-Synchronous,0.0,10,2018-01-11,Planetary Resources,Satish Dhawan Space Centre,PSLV,Technology Development
Arthur,Belgium,Commercial,Earth Observation,LEO,Sun-Synchronous,0.0,20,2021-06-30,Astrospacelab,Cape Canaveral,Falcon 9,Earth Observation
ASELSAT,Turkey,Civil,Earth Observation,LEO,Sun-Synchronous,0.0,5,2021-01-24,Istanbul Technical University,Cape Canaveral,Falcon 9,Earth Observation
ASNARO-1,Japan,Government,Earth Observation,LEO,Sun-Synchronous,0.0,500,2014-11-06,NEC Corporation,Dombarovsky Air Base,Dnepr,Earth Observation
ASNARO-2,Japan,Government,Earth Observation,LEO,Sun-Synchronous,0.0,570,2018-01-17,NEC Corporation,Uchinoura Space Center,Epsilon,Earth Observation
ASTERISC,Japan,Civil,Technology Development,LEO,Sun-Synchronous,0.0,4,2021-11-08,Chiba Institute of Technology,Uchinoura Space Center,H2A,Technology Development
Astrocast-0101 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-01-24,Astrocast,Cape Canaveral,Falcon 9/Sherpa FX,Communications
Astrocast-0102 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-01-24,Astrocast,Cape Canaveral,Falcon 9/Sherpa FX,Communications
Astrocast-0103 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-01-24,Astrocast,Cape Canaveral,Falcon 9/Sherpa FX,Communications
Astrocast-0104 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-01-24,Astrocast,Cape Canaveral,Falcon 9/Sherpa FX,Communications
Astrocast-0105 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-01-24,Astrocast,Cape Canaveral,Falcon 9/Sherpa FX,Communications
Astrocast-0201 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-06-30,Astrocast,Cape Canaveral,Falcon 9,Communications
Astrocast-0202   ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-06-30,Astrocast,Cape Canaveral,Falcon 9,Communications
Astrocast-0203,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-06-30,Astrocast,Cape Canaveral,Falcon 9,Communications
Astrocast-0204 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-06-30,Astrocast,Cape Canaveral,Falcon 9,Communications
Astrocast-0205 ,Switzerland,Commercial,Communications,LEO,Sun-Synchronous,0.0,4,2021-06-30,Astrocast,Cape Canaveral,Falcon 9,Communications
Astrosat,India,Government,Space Science,LEO,Equatorial,0.0,230,2015-09-28,Indian Space Research Organization (ISRO),Satish Dhawan Space Centre,PSLV C-30,Space Science
Athena,USA,Commercial,Communications,LEO,Sun-Synchronous,0.0,138,2020-09-02,Maxar Technologies,Guiana Space Center,Vega,Communications
Athenoxat-1,Singapore,Commercial,Technology Development,LEO,Equatorial,0.0,6,2015-12-16,Microspace Rapid Pvt Ltd.,Satish Dhawan Space Centre,PSLV-C29,Technology Development
BB-1,USA,Military,Technology Demonstration,LEO,Polar,0.0,300,2023-04-02,Leidos,Vandenberg AFB,Falcon 9,Technology Demonstration
BB-2,USA,Military,Technology Demonstration,LEO,Polar,0.0,300,2023-04-02,Leidos,Vandenberg AFB,Falcon 9,Technology Demonstration
BDSAT,Czech Republic,Government,Technology Demonstration,LEO,Sun-Synchronous,0.0,1,2022-04-01,Central European Institute of Technology,Cape Canaveral,Falcon 9,Technology Demonstration
BDSAT-2,Czech Republic,Civil,Communications,LEO,Sun-Synchronous,0.0,2,2023-01-03,Central European Institute of Technology/,Cape Canaveral,Falcon 9,Communications
Beesat-5,Germany,Civil,Technology Demonstration,LEO,Sun-Synchronous,0.0,1,2021-03-22,Technical University Berlin,Baikonur Cosmodrome,Soyuz-2.1a,Technology Demonstration
Beesat-6,Germany,Civil,Technology Demonstration,LEO,Sun-Synchronous,0.0,1,2021-03-22,Technical University Berlin,Baikonur Cosmodrome,Soyuz-2.1a,Technology Demonstration
