Countries_Organisations,Total_Satellites,Total_Mass
China/France,2,709.0
China/Italy,1,730.0
ESA,48,24592.0
France/Belgium/Sweden,2,1434.0
France/Israel,1,264.0
India/France,1,407.0
Morocco/Germany,1,47.0
Multinational,7,2072.0
Poland/UK,1,5.0
Sinapore,1,155.0
South Korea,12,3641.0
USA/Argentina,5,60.0
USA/France,1,553.0
USA/Germany,2,1200.0
USA/India/Singapore/Taiwan,1,8.0
USA/Poland,1,10.0
United Kingdom/Netherlands,1,4.0
