site,lat,lon
Baikonur Cosmodrome,45.965,63.305
Cape Canaveral,28.5623,-80.5774
Kennedy Space Center,28.5721,-80.6480
Vandenberg Space Force Base,34.6328,-120.6108
Plesetsk Cosmodrome,62.9275,40.5703
Guiana Space Centre,5.2360,-52.7680
Jiuquan Satellite Launch Center,40.9606,100.2983
Xichang Satellite Launch Center,28.246,102.027
Tanegashima Space Center,30.4017,130.9764
Wenchang Space Launch Site,19.6144,110.9515
